codice spira;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;sensor_key
3.21 3.24 4 1;450;1;spira;639;3191;57500;VIA ALESSANDRO TIARINI;10384;10360;4000/343434;A;260;O;81;11.3462080467851;44.508210897842;44.508210897842, 11.3462080467851;551;450_3.21 3.24 4 1
3.21 3.25 2 1;362;1;spira;111;7758;37100;VIA GIACOMO MATTEOTTI;10310;15570;4000/343434;A;260;S;170;11.3459581931791;44.506721871953;44.506721871953, 11.3459581931791;552;362_3.21 3.25 2 1
3.25 0.127 1 1;753;1;spira;1105;4652;37400;PIAZZA DELLE MEDAGLIE D'ORO;10320;16721;4000/343434;A;142;S;171;11.3426488770414;44.5053906447778;44.5053906447778, 11.3426488770414;560;753_3.25 0.127 1 1
3.25 1.5 2 1;456;1;spira;648;6486;60700;PIAZZA XX SETTEMBRE;10239;14166;4000/343434;A;140;S;170;11.3452927329361;44.5043986546409;44.5043986546409, 11.3452927329361;563;456_3.25 1.5 2 1
3.25 3.25 4 1;323;1;spira;163;8828;60700;PIAZZA XX SETTEMBRE;16723;16727;4000/343434;A;140;O;80;11.3449534559094;44.5049265403931;44.5049265403931, 11.3449534559094;565;323_3.25 3.25 4 1
3.25 3.25 8 1;333;1;spira;173;10646;46000;VIALE PIETRO PIETRAMELLARA;17478;10311;4000/343434;A;142;E;261;11.3439423895667;44.5049648841542;44.5049648841542, 11.3439423895667;566;333_3.25 3.25 8 1
3.29 3.28 6 1;332;1;spira;172;4904;55950;VIA STALINGRADO;10591;10590;4000/343434;A;148;N;342;11.3589479513182;44.514702324053;44.514702324053, 11.3589479513182;570;332_3.29 3.28 6 1
3.29 3.30 2 1;459;1;spira;651;9285;55950;VIA STALINGRADO;10592;10593;4000/343434;A;148;S;162;11.3576722310503;44.5124113225706;44.5124113225706, 11.3576722310503;571;459_3.29 3.30 2 1
3.30 3.22 4 1;315;1;spira;155;3469;31950;VIA DELLA LIBERAZIONE;10593;10155;4000/343434;A;374;O;86;11.356360865697;44.510686692092;44.510686692092, 11.356360865697;575;315_3.30 3.22 4 1
3.30 3.22 4 15;696;1;spira;1014;3469;31950;VIA DELLA LIBERAZIONE;10155;10593;4000/343434;A;374;E;266;11.3567674282501;44.5106243830121;44.5106243830121, 11.3567674282501;576;696_3.30 3.22 4 15
3.30 3.32 2 1;312;1;spira;149;6169;55950;VIA STALINGRADO;10594;13920;4000/343434;A;373;S;164;11.3562924469786;44.5095285909376;44.5095285909376, 11.3562924469786;579;312_3.30 3.32 2 1
3.31 3.30 4 1;697;1;spira;1015;9807;40280;VIALE ALDO MORO;17169;17020;4000/343434;A;375;O;86;11.3594351765644;44.5105133984144;44.5105133984144, 11.3594351765644;582;697_3.31 3.30 4 1
3.31 3.91 8 1;464;1;spira;657;10743;40280;VIALE ALDO MORO;16625;17518;4000/343434;A;154;SE;218;11.3627497817883;44.5086825618141;44.5086825618141, 11.3627497817883;584;464_3.31 3.91 8 1
3.33 3.32 6 1;338;1;spira;179;9207;55950;VIA STALINGRADO;10489;15568;4000/343434;A;133;N;341;11.3530300177921;44.5026709559231;44.5026709559231, 11.3530300177921;590;338_3.33 3.32 6 1
3.33 3.54 4 1;340;1;spira;181;8858;36750;VIALE ANGELO MASINI;16740;16747;4000/343434;A;133;O;63;11.3521598288255;44.5025828252444;44.5025828252444, 11.3521598288255;592;340_3.33 3.54 4 1
3.34 3.67 6 2;848;1;spira;1189;3868;17950;VIA DI CORTICELLA;11112;11098;4000/343434;A;297;N;341;11.3560237692603;44.53708677916823;44.53708677916823, 11.3560237692603;594;848_3.34 3.67 6 2
3.35 3.36 2 1;44;1;spira;251;4771;20500;VIA S.DONATO;10881;10873;4000/343434;A;116;SO;130;11.3892197069102;44.5144099101496;44.5144099101496, 11.3892197069102;596;44_3.35 3.36 2 1
3.38 3.37 6 1;148;1;spira;236;4768;20500;VIA S.DONATO;10870;10869;4000/343434;A;121;NE;303;11.3802446259868;44.5093747678513;44.5093747678513, 11.3802446259868;603;148_3.38 3.37 6 1
3.38 3.39 2 1;149;1;spira;237;8029;20500;VIA S.DONATO;10876;16028;4000/343434;A;121;SO;123;11.379294609833;44.5090807589798;44.5090807589798, 11.379294609833;604;149_3.38 3.39 2 1
3.39 3.38 6 1;147;1;spira;233;8030;20500;VIA S.DONATO;10625;16028;4000/343434;A;122;NE;302;11.3782871395443;44.5085294303649;44.5085294303649, 11.3782871395443;605;147_3.39 3.38 6 1
3.39 3.40 2 1;471;1;spira;665;4716;20500;VIA S.DONATO;10578;10579;4000/343434;A;122;SO;136;11.3768613509419;44.5079596942092;44.5079596942092, 11.3768613509419;606;471_3.39 3.40 2 1
3.42 3.41 6 1;474;1;spira;668;10600;20500;VIA S.DONATO;10507;17460;4000/343434;A;134;NE;292;11.3652312853814;44.5039553116973;44.5039553116973, 11.3652312853814;615;474_3.42 3.41 6 1
3.42 3.47 4 1;37;1;spira;205;7383;49750;VIALE DELLA REPUBBLICA;10473;14933;4000/343434;A;134;NO;37;11.3640024731671;44.5036925948154;44.5036925948154, 11.3640024731671;617;37_3.42 3.47 4 1
3.45 3.42 4 1;39;1;spira;215;3364;24950;VIA ERMANNO GALEOTTI;10474;10473;4000/343434;A;131;NO;31;11.364946592998;44.5022374694553;44.5022374694553, 11.364946592998;621;39_3.45 3.42 4 1
3.48 3.47 6 1;124;1;spira;198;10440;51900;VIA RUGGERO RUGGERI;10509;17406;4000/343434;A;137;NE;306;11.3617986946849;44.5053455215704;44.5053455215704, 11.3617986946849;630;124_3.48 3.47 6 1
3.50 1.1 2 2;481;1;spira;676;3362;30400;VIA IRNERIO;10460;10461;4000/343434;A;128;O;72;11.3554272214055;44.4984932059706;44.4984932059706, 11.3554272214055;635;481_3.50 1.1 2 2
3.51 3.50 8 1;122;1;spira;456;8867;7800;VIALE CARLO BERTI PICHAT;16750;16751;4000/343434;A;132;S;187;11.3561677172331;44.5006846033571;44.5006846033571, 11.3561677172331;641;122_3.51 3.50 8 1
3.52 3.9 4 1;336;1;spira;177;10642;46000;VIALE PIETRO PIETRAMELLARA;17477;16729;4000/343434;A;143;O;78;11.3411825676299;44.5055165386155;44.5055165386155, 11.3411825676299;644;336_3.52 3.9 4 1
3.59 0.127 2 1;792;1;spira;1137;11338;99999;NOME VIA DA ISTITUIRE;17680;17770;4000/343434;A;397;;353;11.3376907889743;44.508214040658;44.508214040658, 11.3376907889743;649;792_3.59 0.127 2 1
3.59 3.4 4 2;769;1;spira;1122;11603;13500;VIA DE' CARRACCI;14531;17891;4000/343434;A;397;;81;11.337470059811;44.5081188491682;44.5081188491682, 11.337470059811;652;769_3.59 3.4 4 2
3.81 0.127 6 1;885;1;spira;1244;9966;35250;VIA MARCO POLO;17230;8939;4000/343434;A;381;N;349;11.3304868658938;44.5246248014692;44.5246248014692, 11.3304868658938;667;885_3.81 0.127 6 1
3.84 0.127 4 1;404;1;spira;687;6000;4800;VIA FRANCESCO BARBIERI;10673;13771;4000/343434;A;227;O;87;11.3419300258894;44.5168387757699;44.5168387757699, 11.3419300258894;670;404_3.84 0.127 4 1
3.88 0.127 2 1;407;1;spira;690;9439;22750;VIALE DELLA FIERA;15108;17048;4000/343434;A;125;SO;149;11.3698251607554;44.5093721506423;44.5093721506423, 11.3698251607554;676;407_3.88 0.127 2 1
3.88 0.127 6 1;406;1;telecamera;689;9925;21580;VIALE EUROPA;15108;13181;4000/343434;A;125;NE;330;11.3705385747359;44.5099736480314;44.5099736480314, 11.3705385747359;677;406_3.88 0.127 6 1
3.92 3.93 2 1;416;1;spira;700;3812;21580;VIALE EUROPA;15791;15789;4000/343434;A;104;O;69;11.3889916308214;44.5181881428068;44.5181881428068, 11.3889916308214;684;416_3.92 3.93 2 1
4.1 4.1 2 1;66;1;spira;316;2341;37000;VIA ENRICO MATTEI;7014;7020;4000/343434;A;308;O;98;11.4012531284328;44.4948946981123;44.4948946981123, 11.4012531284328;688;66_4.1 4.1 2 1
4.3 4.48 2 1;959;2;spira;306;2316;36800;VIA GIUSEPPE MASSARENTI;6983;6989;4000/343434;A;266;O;97;11.3885822096084;44.4932769357731;44.4932769357731, 11.3885822096084;761;959_4.3 4.48 2 1
4.5 4.4 6 1;55;1;spira;302;4450;36800;VIA GIUSEPPE MASSARENTI;6555;6619;4000/343434;A;199;E;264;11.3744805394914;44.4933371712401;44.4933371712401, 11.3744805394914;826;55_4.5 4.4 6 1
4.5 4.5 3 1;915;2;spira;1018;1894;36800;VIA GIUSEPPE MASSARENTI;6601;6560;4000/343434;A;199;O;103;11.3726579323592;44.4933357045931;44.4933357045931, 11.3726579323592;827;915_4.5 4.5 3 1
4.5 4.5 7 1;913;1;spira;1251;8114;36800;VIA GIUSEPPE MASSARENTI;16172;6580;4000/343434;A;404;E;285;11.3704505996502;44.4929037526418;44.4929037526418, 11.3704505996502;828;913_4.5 4.5 7 1
4.6 4.5 6 1;51;1;spira;297;1830;36800;VIA GIUSEPPE MASSARENTI;6575;6572;4000/343434;A;203;E;281;11.3663460561285;44.492551360397;44.492551360397, 11.3663460561285;845;51_4.6 4.5 6 1
4.6 4.8 2 1;52;1;spira;298;1731;36800;VIA GIUSEPPE MASSARENTI;6493;6497;4000/343434;A;203;O;90;11.3644681870776;44.4922478994202;44.4922478994202, 11.3644681870776;847;52_4.6 4.8 2 1
4.7 4.6 8 1;71;1;spira;322;1886;32050;VIA LIBIA;16002;6534;4000/343434;A;205;S;184;11.3656500588209;44.4959845335512;44.4959845335512, 11.3656500588209;855;71_4.7 4.6 8 1
4.8 0.127 4 1;619;1;spira;961;4435;62690;VIA GIOVANNA ZACCHERINI ALVISI;6476;6474;4000/343434;A;204;N;345;11.3605470479019;44.4932095746169;44.4932095746169, 11.3605470479019;864;619_4.8 0.127 4 1
4.9 3.50 4 1;115;1;spira;292;1752;62100;PIAZZA DI PORTA S.VITALE;6475;16757;4000/343434;A;124;N;7;11.3572051758316;44.4941315096865;44.4941315096865, 11.3572051758316;895;115_4.9 3.50 4 1
4.9 4.19 8 1;117;1;spira;294;8884;21500;VIALE GIAN BATTISTA ERCOLANI;16759;16760;4000/343434;A;124;S;187;11.3570501201105;44.4936020201609;44.4936020201609, 11.3570501201105;896;117_4.9 4.19 8 1
4.10 0.127 3 1;600;1;spira;930;2177;20830;VIA GIUSEPPE DOZZA;6825;6817;4000/343434;A;168;NO;64;11.399867470168;44.4738951351576;44.4738951351576, 11.399867470168;691;600_4.10 0.127 3 1
4.10 0.127 5 1;599;1;spira;929;4009;20830;VIA GIUSEPPE DOZZA;6825;6826;4000/343434;A;168;E;244;11.4005514616901;44.4735195010917;44.4735195010917, 11.4005514616901;692;599_4.10 0.127 5 1
4.12 4.11 6 1;602;1;spira;932;2151;20830;VIA GIUSEPPE DOZZA;6829;6832;4000/343434;A;346;E;244;11.3927690769774;44.4765349090045;44.4765349090045, 11.3927690769774;696;602_4.12 4.11 6 1
4.12 4.12 6 1;41;1;spira;248;2145;20830;VIA GIUSEPPE DOZZA;6780;6693;4000/343434;A;346;E;243;11.3910022694902;44.4772261739071;44.4772261739071, 11.3910022694902;698;41_4.12 4.12 6 1
4.12 4.55 2 1;42;1;spira;249;2144;21350;VIA EMILIA LEVANTE;6780;6811;4000/343434;A;346;NO;64;11.3904390475129;44.4775555764982;44.4775555764982, 11.3904390475129;700;42_4.12 4.55 2 1
4.12 4.82 4 1;433;1;spira;722;2132;20950;VIA DUE MADONNE;6780;6781;4000/343434;A;346;NE;337;11.3909326859149;44.4776945132422;44.4776945132422, 11.3909326859149;701;433_4.12 4.82 4 1
4.13 4.13 7 1;603;1;spira;933;2220;21350;VIA EMILIA LEVANTE;6894;6736;4000/343434;A;382;SE;235;11.3826444107154;44.4804063869948;44.4804063869948, 11.3826444107154;702;603_4.13 4.13 7 1
4.13 4.15 2 2;610;1;spira;934;8339;37300;VIA MAZZINI;16325;6460;4000/343434;A;159;O;63;11.3727554078406;44.4842860205104;44.4842860205104, 11.3727554078406;705;610_4.13 4.15 2 2
4.15 4.13 6 1;48;1;spira;259;8339;37300;VIA MAZZINI;6460;16325;4000/343434;A;159;E;243;11.3726866737737;44.4842345736037;44.4842345736037, 11.3726866737737;714;48_4.15 4.13 6 1
4.17 4.94 8 1;108;1;spira;276;1702;36650;VIA ERNESTO MASI;6435;6369;4000/343434;A;157;SO;156;11.3662227082545;44.4865385884469;44.4865385884469, 11.3662227082545;725;108_4.17 4.94 8 1
4.18 4.95 8 1;488;1;spira;737;10001;59150;PIAZZA TRENTO E TRIESTE;6374;6363;4000/343434;A;155;S;154;11.3623634887564;44.4880376015462;44.4880376015462, 11.3623634887564;728;488_4.18 4.95 8 1
4.20 4.72 2 1;490;1;spira;739;7531;58600;VIA TOSCANA;15263;5523;4000/343434;A;78;NE;330;11.3617291916017;44.4504735519968;44.4504735519968, 11.3617291916017;735;490_4.20 4.72 2 1
4.21 4.22 2 1;492;1;spira;741;8012;58600;VIA TOSCANA;15976;5570;4000/343434;A;74;NE;341;11.3695250994768;44.4569688510769;44.4569688510769, 11.3695250994768;737;492_4.21 4.22 2 1
4.22 4.21 6 1;342;1;spira;184;8562;58600;VIA TOSCANA;5578;16482;4000/343434;A;72;S;173;11.3700673527929;44.4592895726411;44.4592895726411, 11.3700673527929;739;342_4.22 4.21 6 1
4.24 4.54 6 3;772;1;spira;1155;11048;47150;VIA AMILCARE PONCHIELLI;5692;17647;4000/343434;A;229;;265;11.3758895705749;44.4655839759356;44.4655839759356, 11.3758895705749;746;772_4.24 4.54 6 3
4.24 4.54 6 4;771;1;spira;1154;11048;47150;VIA AMILCARE PONCHIELLI;5692;17647;4000/343434;A;229;;265;11.3759099096151;44.4656318560486;44.4656318560486, 11.3759099096151;747;771_4.24 4.54 6 4
4.25 0.127 4 1;496;1;spira;745;645;44200;VIA PARISIO;5814;5827;4000/343434;A;66;E;282;11.369839612227;44.4725965570622;44.4725965570622, 11.369839612227;748;496_4.25 0.127 4 1
4.25 0.127 8 1;494;1;spira;743;646;56550;VIA GASPARE TAGLIACOZZI;5814;5821;4000/343434;A;66;O;95;11.369270064205;44.4725974554083;44.4725974554083, 11.369270064205;749;494_4.25 0.127 8 1
4.25 4.28 2 1;126;1;spira;200;647;40450;VIA AUGUSTO MURRI;5814;5826;4000/343434;A;66;NO;16;11.3695634627818;44.4727678045545;44.4727678045545, 11.3695634627818;750;126_4.25 4.28 2 1
4.26 4.27 4 1;499;1;spira;748;568;34750;VIA BENEDETTO MARCELLO;5736;5741;4000/343434;A;178;N;351;11.3767241765405;44.4680693947503;44.4680693947503, 11.3767241765405;752;499_4.26 4.27 4 1
4.28 4.25 6 1;34;1;spira;202;680;40450;VIA AUGUSTO MURRI;5800;5816;4000/343434;A;65;SE;201;11.3681578137543;44.4741003130538;44.4741003130538, 11.3681578137543;756;34_4.28 4.25 6 1
4.28 4.29 2 1;36;1;spira;204;6334;40450;VIA AUGUSTO MURRI;14036;14034;4000/343434;A;65;NO;19;11.3680344387567;44.4746198221316;44.4746198221316, 11.3680344387567;757;36_4.28 4.29 2 1
4.29 4.30 4 1;32;1;spira;208;700;18850;VIA GIUSEPPE DAGNINI;5852;5844;4000/343434;A;63;NE;307;11.3669184866519;44.4767977867337;44.4767977867337, 11.3669184866519;759;32_4.29 4.30 4 1
4.31 4.32 2 1;234;1;spira;758;1487;40450;VIA AUGUSTO MURRI;14040;6333;4000/343434;A;62;NO;42;11.3644041645797;44.4796382908622;44.4796382908622, 11.3644041645797;768;234_4.31 4.32 2 1
4.32 4.40 4 1;707;1;spira;1027;1506;36650;VIA ERNESTO MASI;6320;6319;4000/343434;A;61;NE;330;11.3623145431352;44.481222592007;44.481222592007, 11.3623145431352;772;707_4.32 4.40 4 1
4.33 4.32 6 1;111;1;spira;280;7485;40450;VIA AUGUSTO MURRI;6301;15062;4000/343434;A;60;SE;229;11.3589294955386;44.4828926506319;44.4828926506319, 11.3589294955386;774;111_4.33 4.32 6 1
4.35 4.35 2 1;245;1;spira;765;7780;42600;VIA DEGLI ORTI;15591;5877;4000/343434;A;182;O;92;11.3729144441691;44.4765822745447;44.4765822745447, 11.3729144441691;778;245_4.35 4.35 2 1
4.36 4.37 6 1;136;1;spira;221;9458;42700;VIA DEGLI ORTOLANI;6728;6699;4000/343434;A;283;SE;244;11.3786958463985;44.4752096947446;44.4752096947446, 11.3786958463985;782;136_4.36 4.37 6 1
4.37 4.38 6 1;145;1;spira;231;2023;42700;VIA DEGLI ORTOLANI;6699;6705;4000/343434;A;180;SE;244;11.3823859617204;44.4738130016986;44.4738130016986, 11.3823859617204;785;145_4.37 4.38 6 1
4.38 4.14 4 1;586;1;spira;891;2116;3300;VIA ARNO;6727;6714;4000/343434;A;175;N;334;11.3888235224726;44.4747110941585;44.4747110941585, 11.3888235224726;786;586_4.38 4.14 4 1
4.38 4.14 4 2;719;1;spira;1041;2013;3300;VIA ARNO;6712;6710;4000/343434;A;290;NE;334;11.3875399104494;44.4730112592351;44.4730112592351, 11.3875399104494;787;719_4.38 4.14 4 2
4.41 4.44 8 1;11;1;spira;282;1566;28450;VIALE GIOVANNI GOZZADINI;6346;6347;4000/343434;A;56;O;82;11.3554769864748;44.4846020155325;44.4846020155325, 11.3554769864748;801;11_4.41 4.44 8 1
4.42 4.43 4 1;250;1;spira;774;8628;13150;VIALE GIOSUE' CARDUCCI;16763;6358;4000/343434;A;57;N;6;11.3580509660641;44.4863901940841;44.4863901940841, 11.3580509660641;804;250_4.42 4.43 4 1
4.43 4.19 4 1;8;1;spira;287;1530;13150;VIALE GIOSUE' CARDUCCI;6358;6357;4000/343434;A;58;N;6;11.3579148059143;44.4875616072423;44.4875616072423, 11.3579148059143;806;8_4.43 4.19 4 1
4.43 4.42 8 1;9;1;spira;288;8896;13150;VIALE GIOSUE' CARDUCCI;16764;16767;4000/343434;A;58;S;187;11.3578224490571;44.4868707985229;44.4868707985229, 11.3578224490571;807;9_4.43 4.42 8 1
4.43 4.95 6 1;252;1;spira;776;8345;19200;VIA DANTE;6358;16328;4000/343434;A;58;E;280;11.3581757757654;44.4873862282118;44.4873862282118, 11.3581757757654;808;252_4.43 4.95 6 1
4.48 4.3 6 1;962;1;spira;1138;2305;36800;VIA GIUSEPPE MASSARENTI;6952;6977;4000/343434;A;400;E;263;11.3841681759424;44.4933448926398;44.4933448926398, 11.3841681759424;732;962_4.48 4.3 6 1
4.48 4.3 6 1;793;1;spira;1138;2305;36800;VIA GIUSEPPE MASSARENTI;6952;6977;4000/343434;A;400;;263;11.3841681759424;44.4933448926398;44.4933448926398, 11.3841681759424;732;793_4.48 4.3 6 1
4.53 4.23 6 1;727;1;spira;977;519;58600;VIA TOSCANA;5710;5707;4000/343434;A;377;S;183;11.3708229534843;44.4640917279521;44.4640917279521, 11.3708229534843;831;727_4.53 4.23 6 1
4.54 4.26 4 1;544;1;spira;787;585;34750;VIA BENEDETTO MARCELLO;5692;5693;4000/343434;A;229;N;351;11.3761506817681;44.4658774282947;44.4658774282947, 11.3761506817681;834;544_4.54 4.26 4 1
4.55 4.12 6 1;714;1;spira;1035;8407;21350;VIA EMILIA LEVANTE;6805;16374;4000/343434;A;284;SE;244;11.3879256822035;44.4784155362785;44.4784155362785, 11.3879256822035;835;714_4.55 4.12 6 1
4.55 4.13 2 1;260;1;spira;843;2234;21350;VIA EMILIA LEVANTE;6805;6919;4000/343434;A;284;O;64;11.3868604896323;44.4788626326924;44.4788626326924, 11.3868604896323;836;260_4.55 4.13 2 1
4.58 4.23 2 1;735;1;spira;985;8582;58600;VIA TOSCANA;16495;5680;4000/343434;A;378;N;354;11.3705667402466;44.4614843334845;44.4614843334845, 11.3705667402466;841;735_4.58 4.23 2 1
4.70 4.70 5 1;860;1;spira;1201;2348;31370;VIALE VLADIMIR ILIC ULJANOV LENIN;6884;6889;4000/343434;A;196;N;336;11.38674974074901;44.48660660855944;44.48660660855944, 11.38674974074901;857;860_4.70 4.70 5 1
4.72 4.20 6 1;545;1;spira;789;8593;58600;VIA TOSCANA;5543;16503;4000/343434;A;272;SO;143;11.3655086137095;44.4531257255383;44.4531257255383, 11.3655086137095;861;545_4.72 4.20 6 1
4.81 4.1 4 2;897;1;spira;1239;9097;35850;VIA TOMMASO MARTELLI;16544;16917;4000/343434;A;396;NE;336;11.3990143146441;44.490656303638;44.490656303638, 11.3990143146441;867;897_4.81 4.1 4 2
4.84 0.127 6 1;582;1;spira;836;5009;58600;VIA TOSCANA;5517;5520;4000/343434;A;282;SO;139;11.3592392311116;44.4482040481231;44.4482040481231, 11.3592392311116;871;582_4.84 0.127 6 1
4.84 4.20 2 1;583;1;spira;837;414;58600;VIA TOSCANA;5517;5521;4000/343434;A;282;N;329;11.3600289008496;44.4487724260651;44.4487724260651, 11.3600289008496;872;583_4.84 4.20 2 1
4.85 4.13 8 1;704;1;spira;1024;2210;31370;VIALE ILIC ULJANOV LENIN;6898;6894;4000/343434;A;382;SO;146;11.3825231074051;44.4808920975698;44.4808920975698, 11.3825231074051;873;704_4.85 4.13 8 1
4.88 4.6 4 2;861;1;spira;1202;1843;43450;VIA PELAGIO PALAGI;6558;6562;4000/343434;A;202;N;5;11.366095334670003;44.49091425974863;44.49091425974863, 11.366095334670003;882;861_4.88 4.6 4 2
4.88 4.87 8 1;863;1;spira;1204;1841;43450;VIA PELAGIO PALAGI;6562;6365;4000/343434;A;202;S;185;11.366058408006234;44.49063097571317;44.490630975713174, 11.366058408006234;885;863_4.88 4.87 8 1
4.89 4.55 4 1;718;1;spira;1039;4474;32450;VIA LOMBARDIA;6735;6805;4000/343434;A;193;NE;300;11.385812641054;44.4776913717682;44.4776913717682, 11.385812641054;889;718_4.89 4.55 4 1
4.89 4.55 4 2;608;1;spira;944;4474;32450;VIA LOMBARDIA;6735;6805;4000/343434;A;284;NE;327;11.3868956612591;44.478605243338;44.478605243338, 11.3868956612591;890;608_4.89 4.55 4 2
4.90 0.127 6 1;559;1;spira;805;2049;53100;VIA SARDEGNA;6744;6745;4000/343434;A;192;SE;211;11.3833062246919;44.4764641194234;44.4764641194234, 11.3833062246919;899;559_4.90 0.127 6 1
4.90 4.91 2 1;556;1;spira;802;2031;6500;PIAZZA BELLUNO;6744;6770;4000/343434;A;192;NO;32;11.3830699818228;44.4768605829008;44.4768605829008, 11.3830699818228;901;556_4.90 4.91 2 1
4.91 4.13 4 1;563;1;spira;810;2259;46650;VIA PO;15895;6894;4000/343434;A;191;N;332;11.3812343439759;44.4794153403035;44.4794153403035, 11.3812343439759;902;563_4.91 4.13 4 1
4.91 4.36 8 1;562;1;spira;809;2026;46650;VIA PO;15894;15891;4000/343434;A;191;S;156;11.3804873332989;44.4785683027768;44.4785683027768, 11.3804873332989;903;562_4.91 4.36 8 1
4.93 4.92 6 1;568;1;spira;817;1663;1100;VIA LEANDRO ALBERTI;6437;6405;4000/343434;A;189;E;244;11.3685493809408;44.4843292671686;44.4843292671686, 11.3685493809408;910;568_4.93 4.92 6 1
4.93 4.94 2 1;569;1;spira;818;1658;1100;VIA LEANDRO ALBERTI;6437;6446;4000/343434;A;189;O;64;11.3680495585809;44.4845847860172;44.4845847860172, 11.3680495585809;911;569_4.93 4.94 2 1
4.94 4.93 6 1;571;1;spira;821;1661;1100;VIA LEANDRO ALBERTI;6369;6446;4000/343434;A;188;E;244;11.3658890908672;44.4853178630729;44.4853178630729, 11.3658890908672;914;571_4.94 4.93 6 1
4.95 4.94 6 1;575;1;spira;825;8347;1100;VIA LEANDRO ALBERTI;6363;16331;4000/343434;A;187;E;242;11.3621500984113;44.4868432793297;44.4868432793297, 11.3621500984113;918;575_4.95 4.94 6 1
4.98 0.127 4 1;629;1;spira;946;1989;15350;VIA FRANCESCO CAVAZZONI;6672;6650;4000/343434;A;176;NO;69;11.3850649221279;44.4693478190501;44.4693478190501, 11.3850649221279;920;629_4.98 0.127 4 1
4.98 0.127 8 1;526;1;spira;912;1960;42780;VIA OSOPPO;6672;6671;4000/343434;A;176;E;257;11.3856143249703;44.469065830958;44.469065830958, 11.3856143249703;922;526_4.98 0.127 8 1
4.98 4.98 3 1;644;1;spira;1067;1963;32510;VIA LUIGI LONGO;6672;6639;4000/343434;A;176;S;170;11.3852604232066;44.4689700816957;44.4689700816957, 11.3852604232066;923;644_4.98 4.98 3 1
4.98 4.98 5 1;643;1;spira;1066;4462;32510;VIA LUIGI LONGO;6638;6639;4000/343434;A;348;N;352;11.3850945262641;44.4680551790822;44.4680551790822, 11.3850945262641;924;643_4.98 4.98 5 1
0.127 1.3 2 1;156;1;spira;501;3072;9450;VIA DEL BORGO DI S.PIETRO;15183;15185;4000/343434;A;315;S;156;11.3492210523335;44.5003601607765;44.5003601607765, 11.3492210523335;14;156_0.127 1.3 2 1
0.127 1.4 2 1;159;1;spira;504;9442;43650;VIA DEL PALLONE;15179;15170;4000/343434;A;318;S;170;11.3474244254298;44.5008152038968;44.5008152038968, 11.3474244254298;15;159_0.127 1.4 2 1
0.127 1.13 6 1;380;1;spira;130;1169;14700;VIA CASTIGLIONE;6125;6108;4000/343434;A;323;S;198;11.3464200565732;44.4916483847646;44.4916483847646, 11.3464200565732;3;380_0.127 1.13 6 1
0.127 1.14 4 1;537;1;spira;521;1050;59900;VIA URBANA;33;36;4000/343434;A;92;E;264;11.3398356513878;44.4901162203284;44.4901162203284, 11.3398356513878;5;537_0.127 1.14 4 1
0.127 1.15 6 1;382;1;spira;133;1059;25800;VIA GARIBALDI;6061;6053;4000/343434;A;324;S;168;11.3434427397635;44.4900271601578;44.4900271601578, 11.3434427397635;7;382_0.127 1.15 6 1
0.127 1.16 8 1;63;1;spira;313;1743;45400;VIA GIUSEPPE PETRONI;16557;6257;4000/343434;A;117;S;193;11.3520841867509;44.4943294432991;44.4943294432991, 11.3520841867509;9;63_0.127 1.16 8 1
0.127 1.18 2 1;264;1;spira;913;2904;35200;VIA GUGLIELMO MARCONI;14137;200;4000/343434;A;327;S;167;11.3385147346639;44.4992331807033;44.4992331807033, 11.3385147346639;12;264_0.127 1.18 2 1
0.127 1.18 10 1;938;2;spira;1086;2904;35200;VIA GUGLIELMO MARCONI;14137;200;4000/343434;A;327;;163;11.3385934466807;44.4992120923342;44.4992120923342, 11.3385934466807;13;938_0.127 1.18 10 1
0.127 1.81 4 1;671;1;spira;1046;8948;49300;PIAZZA PORTA RAVEGNANA;16794;13541;4000/343434;A;386;SO;141;11.3465400292447;44.4943772125934;44.4943772125934, 11.3465400292447;19;671_0.127 1.81 4 1
0.127 1.82 4 1;540;1;spira;525;1196;49900;VIA RIALTO;5944;13196;4000/343434;A;85;NE;317;11.3501743484736;44.4899121310998;44.4899121310998, 11.3501743484736;21;540_0.127 1.82 4 1
0.127 2.1 2 2;742;1;spira;1091;4177;11600;VIA ALBERTO CALDA;4397;4381;4000/343434;A;331;;209;11.2979990718462;44.488964196483;44.488964196483, 11.2979990718462;22;742_0.127 2.1 2 2
0.127 2.1 8 1;239;1;spira;526;8198;56450;VIA DON LUIGI STURZO;16226;4382;4000/343434;A;332;NE;297;11.2965674930571;44.4882951302187;44.4882951302187, 11.2965674930571;25;239_0.127 2.1 8 1
0.127 2.3 1 1;242;1;spira;530;5316;32650;VIA DI S.LUCA;13277;16166;4000/343434;A;336;NE;291;11.3106312013806;44.4900651982211;44.4900651982211, 11.3106312013806;51;242_0.127 2.3 1 1
0.127 2.4 8 1;441;1;spira;536;8227;5680;VIA FELICE BATTAGLIA;16248;15985;4000/343434;A;47;NE;337;11.3177735304776;44.4887046214229;44.4887046214229, 11.3177735304776;69;441_0.127 2.4 8 1
